date,weight,bf_pct,fat_mass,lbm,water_pct,bmi,note
2026-03-01,98.10,26.0,25.51,72.59,48.50,30.30,
2026-03-02,98.55,26.4,26.01,72.54,49.40,30.40,
2026-03-03,99.00,26.8,26.53,72.47,48.10,30.60,
2026-03-04,98.90,27.3,27.00,71.90,47.80,30.50,
2026-03-05,98.90,27.3,27.00,71.90,47.80,30.50,
2026-03-06,98.45,25.6,25.20,73.30,48.10,30.40,
2026-03-07,98.35,25.5,25.08,73.25,48.00,30.40,
2026-03-08,98.25,25.6,25.15,73.10,48.10,30.30,
2026-03-09,98.05,26.0,25.49,72.50,47.70,30.30,
2026-03-10,97.05,25.1,24.36,72.65,47.60,30.00,Whoosh (Constipation)
2026-03-11,96.75,25.0,24.19,72.50,47.60,29.90,
2026-03-12,96.60,24.5,23.67,73.00,47.90,29.80,Lowest FatMass
2026-03-13,97.60,25.6,24.99,72.55,47.60,30.10,Recovery Start
2026-03-14,96.20,25.8,24.82,71.40,48.00,29.70,Target Hit
2026-03-15,96.10,25.0,24.02,72.05,48.20,29.70,Recovery
2026-03-16,97.10,25.3,24.57,72.50,47.90,30.00,Recovery
2026-03-17,97.10,25.3,24.57,72.50,47.90,30.00,Recovery
2026-03-18,96.65,25.2,24.36,72.25,48.20,29.80,Baseline Return
2026-03-19,96.75,25.0,24.19,72.50,48.60,29.90,
2026-03-20,97.20,26.8,26.05,71.20,48.30,30.00,Noise (Error)
2026-03-21,97.20,26.8,26.05,71.20,48.30,30.00,Noise (Error)
2026-03-22,97.45,25.4,24.75,72.7,48.4,30.1,
2026-03-23,97.5,25.5,24.86,72.64,48.3,30.1,
2026-03-24,97.85,26.0,25.44,72.41,47.9,30.2,
2026-03-25,98.2,26.4,25.92,72.28,47.9,30.3,飲み会翌日
2026-03-26,98.15,25.7,25.22,72.93,49.0,30.3,
2026-03-27,99.85,26.6,26.56,73.29,47.7,30.8,飲酒翌日
2026-03-28,98.9,27.5,27.2,71.7,47.8,30.5,飲酒回復中
2026-03-29,99.0,26.2,25.94,73.06,48.5,30.6,飲酒回復中
2026-03-30,97.95,25.9,25.37,72.58,48.7,30.2,Whoosh Effect
2026-03-31,98.55,26.9,26.51,72.04,47.4,30.4,padded
